Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.570573,376.7587142,364.095436,389.4163578,397.9859047,440.3681553,444.9501379,524.8235332,553.3002894,569.2333877,630.4274126,633.6584113,630.320014,620.056525,617.8899723,618.33279
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.77732651,59.87815281,58.49287383,78.78275804,82.20844386,101.2904713,137.8993619,161.3220001,129.5066538,129.7985414,157.1874224,160.3728356,136.1170144,144.1103189,174.9420383,187.975604,199.0261727,226.0053438,249.2873863,277.9007417,274.8808587,266.4930418,,,,,,,,,,,,,,,,,,,,117.4096908,187.845095,198.7285436,219.1413528,250.2941299,272.563077,369.835796,373.3611163,445.8932979,553.3002894,603.5370231,669.0090509,638.6125432,629.3452504,569.5779229,561.7787463,585.8500638
Afghanistan,AFG,GDP per capita  PPP (constant 2011 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063.635574,1099.194507,1062.24936,1136.123214,1161.124889,1284.775213,1298.143159,1531.173993,1614.255001,1660.739856,1839.273579,1848.700026,1838.960244,1809.016488,1802.695565,1803.987487
Afghanistan,AFG,GDP per capita  PPP (current international $),NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875.5176104,922.8294492,916.3344748,1011.595524,1065.619665,1210.479265,1247.066144,1482.098837,1581.600836,1660.739856,1873.153946,1913.160644,1937.235365,1926.357336,1944.117005,1980.516177
Afghanistan,AFG,PPP conversion factor  GDP (LCU per international $),PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.637943783,10.55658937,11.4291679,12.27985647,12.76820373,15.22090561,15.25337281,14.81942777,16.02236588,17.35617,18.45756064,18.86859829,18.64636797,18.8949479,19.61278697,20.20505082
Afghanistan,AFG,PPP conversion factor  private consumption (LCU per international $),PA.NUS.PRVT.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08770555,13.17421654,13.68841169,14.43772353,18.15227724,16.70811497,16.58523599,17.71788,18.61166415,19.74699934,20.32647638,20.15905003,20.7798845,
Afghanistan,AFG,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214553189,0.215346989,0.23914996,0.247425106,0.255778948,0.305528402,0.29939159,0.300852606,0.349835608,0.363414547,0.35715647,0.333799749,0.324867727,0.295676151,0.288963445,0.295806755
Afghanistan,AFG,Official exchange rate (LCU per US$  period average),PA.NUS.FCRF,193.9050094,193.9050094,193.9050094,395.8893943,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,422.7533174,429.2895321,481.6519641,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,484.8594761,36.56714462,47.5,47.5,47.5,46.61953108,47.35757473,47.50001452,47.263,48.76275358,47.8453125,49.4945975,49.92533083,49.96201777,50.24961474,50.325,46.452461,46.74700774,50.9214,55.3775,,,,
Afghanistan,AFG,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Inflation  consumer prices (annual %),FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68626872,7.254895561,8.482889268,30.55494061,-8.283078395,0.892536936,10.20166014,7.218257761,7.654316567,4.604334009,-1.533846583,2.169452176,
Afghanistan,AFG,Inflation  GDP deflator (annual %),NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.71567237,11.2427294,10.90026799,7.171260735,22.38201578,2.179103285,-2.107082554,9.437794773,10.56113929,8.304760856,3.877905972,0.595758459,2.432017315,5.123374914,4.873436868
Afghanistan,AFG,Inflation  GDP deflator: linked series (annual %),NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.71567237,11.2427294,10.90026799,7.171260735,22.38201578,2.179103285,-2.107082554,9.437794773,10.56113929,8.304760856,3.877905972,0.595758459,2.432017315,5.123374914,4.873436868
Afghanistan,AFG,Agriculture  forestry  and fishing  value added (% of GDP),NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.93882062,36.86305768,29.39119563,30.78796707,28.28973831,29.79896553,24.69382301,29.13592844,26.07825278,23.57796869,23.64363865,22.58745316,22.00929802,20.54696588,20.96589761,
